response,rt,scenario_type,word_type,response_binary,participant_id
u,2138.0,depression,threat,0,R_41tTqc4rClQAQ4c
u,986.7000000029802,positive,threat,0,R_41tTqc4rClQAQ4c
r,779.2000000029802,anxiety,benign,1,R_41tTqc4rClQAQ4c
r,743.8999999910593,depression,threat,1,R_41tTqc4rClQAQ4c
r,1141.0999999940395,positive,benign,1,R_41tTqc4rClQAQ4c
u,975.3000000119209,anxiety,benign,0,R_41tTqc4rClQAQ4c
r,820.8000000119209,anxiety,threat,1,R_41tTqc4rClQAQ4c
r,754.5,depression,threat,1,R_49TyR8AUyP9f0KR
r,640.8999999761581,depression,benign,1,R_49TyR8AUyP9f0KR
u,1122.2000000476837,positive,benign,0,R_49TyR8AUyP9f0KR
r,485.10000002384186,positive,threat,1,R_49TyR8AUyP9f0KR
r,526.7999999523163,anxiety,benign,1,R_49TyR8AUyP9f0KR
r,378.39999997615814,depression,benign,1,R_49TyR8AUyP9f0KR
r,935.5,positive,benign,1,R_49TyR8AUyP9f0KR
r,970.0,positive,benign,1,R_49TyR8AUyP9f0KR
r,1564.2000000476837,depression,threat,1,R_49TyR8AUyP9f0KR
r,662.7999999523163,depression,threat,1,R_49TyR8AUyP9f0KR
r,1627.6999999284744,depression,benign,1,R_49TyR8AUyP9f0KR
u,2167.8000000715256,depression,benign,0,R_49TyR8AUyP9f0KR
r,1520.2000000476837,depression,threat,1,R_49TyR8AUyP9f0KR
u,1408.0999999046326,anxiety,threat,0,R_49TyR8AUyP9f0KR
r,619.0,depression,threat,1,R_49TyR8AUyP9f0KR
r,561.3999999761581,anxiety,threat,1,R_49TyR8AUyP9f0KR
u,1366.6999999284744,depression,threat,0,R_49TyR8AUyP9f0KR
r,879.8999999761581,anxiety,threat,1,R_49TyR8AUyP9f0KR
r,853.7000000476837,positive,benign,1,R_49TyR8AUyP9f0KR
r,2003.5,depression,benign,1,R_49TyR8AUyP9f0KR
r,978.2999999523163,positive,threat,1,R_49TyR8AUyP9f0KR
r,871.5,positive,threat,1,R_49TyR8AUyP9f0KR
r,2156.5999999046326,anxiety,threat,1,R_49TyR8AUyP9f0KR
r,1711.5,anxiety,benign,1,R_49TyR8AUyP9f0KR
u,2443.7999999523163,depression,threat,0,R_49TyR8AUyP9f0KR
u,1407.6000000238419,positive,benign,0,R_49TyR8AUyP9f0KR
u,1590.6999999284744,depression,benign,0,R_49TyR8AUyP9f0KR
u,1133.8999999761581,anxiety,benign,0,R_49TyR8AUyP9f0KR
r,1101.5,anxiety,benign,1,R_49TyR8AUyP9f0KR
u,1300.5,positive,threat,0,R_49TyR8AUyP9f0KR
r,1246.8000000715256,anxiety,benign,1,R_49TyR8AUyP9f0KR
u,1393.0,positive,threat,0,R_49TyR8AUyP9f0KR
r,1238.1000000238419,anxiety,threat,1,R_49TyR8AUyP9f0KR
r,746.2999999523163,positive,benign,1,R_49TyR8AUyP9f0KR
u,1332.5,anxiety,benign,0,R_49TyR8AUyP9f0KR
u,1371.1000000238419,depression,benign,0,R_49TyR8AUyP9f0KR
r,1189.8999999761581,positive,threat,1,R_49TyR8AUyP9f0KR
r,1528.5,positive,threat,1,R_49TyR8AUyP9f0KR
r,1192.1000000238419,anxiety,threat,1,R_49TyR8AUyP9f0KR
r,838.6999999284744,anxiety,benign,1,R_49TyR8AUyP9f0KR
r,918.5,positive,threat,1,R_49TyR8AUyP9f0KR
u,1630.3999999761581,depression,threat,0,R_49TyR8AUyP9f0KR
u,1003.5,anxiety,benign,0,R_49TyR8AUyP9f0KR
r,880.7000000476837,depression,benign,1,R_49TyR8AUyP9f0KR
r,1138.0,anxiety,benign,1,R_49TyR8AUyP9f0KR
r,1117.5,positive,benign,1,R_49TyR8AUyP9f0KR
u,1431.4000000953674,positive,benign,0,R_49TyR8AUyP9f0KR
r,1462.3999999761581,anxiety,threat,1,R_49TyR8AUyP9f0KR
r,765.0999999046326,depression,threat,1,R_49TyR8AUyP9f0KR
r,973.2999999523163,positive,benign,1,R_49TyR8AUyP9f0KR
r,1679.2999999523163,anxiety,threat,1,R_49TyR8AUyP9f0KR
u,1115.5999999046326,anxiety,threat,0,R_49TyR8AUyP9f0KR
r,910.0,positive,threat,1,R_49TyR8AUyP9f0KR
r,670.2999999523163,depression,benign,1,R_49TyR8AUyP9f0KR
r,1319.0,depression,threat,1,R_99UYrIivDcdeF7r
r,2905.0,depression,benign,1,R_99UYrIivDcdeF7r
r,1731.0,positive,threat,1,R_99UYrIivDcdeF7r
r,1789.0,anxiety,threat,1,R_99UYrIivDcdeF7r
u,2324.0,positive,benign,0,R_99UYrIivDcdeF7r
u,2863.0,positive,benign,0,R_99UYrIivDcdeF7r
r,1164.0,anxiety,benign,1,R_99UYrIivDcdeF7r
r,1315.0,depression,benign,1,R_99UYrIivDcdeF7r
u,1320.0000000002328,depression,threat,0,R_99UYrIivDcdeF7r
r,1916.0,depression,benign,1,R_99UYrIivDcdeF7r
r,1098.0,anxiety,benign,1,R_99UYrIivDcdeF7r
u,1097.0,depression,threat,0,R_99UYrIivDcdeF7r
r,1637.0,depression,benign,1,R_99UYrIivDcdeF7r
r,1317.0,positive,benign,1,R_99UYrIivDcdeF7r
u,1866.0,anxiety,benign,0,R_99UYrIivDcdeF7r
r,2154.0,depression,benign,1,R_99UYrIivDcdeF7r
r,1659.0,positive,benign,1,R_99UYrIivDcdeF7r
r,1197.0,depression,benign,1,R_99UYrIivDcdeF7r
r,1482.9999999997672,positive,benign,1,R_99UYrIivDcdeF7r
r,1007.0,positive,threat,1,R_99UYrIivDcdeF7r
r,2832.000000000233,positive,threat,1,R_99UYrIivDcdeF7r
r,1413.0,positive,threat,1,R_99UYrIivDcdeF7r
r,1465.0,anxiety,benign,1,R_99UYrIivDcdeF7r
r,2794.0,positive,threat,1,R_99UYrIivDcdeF7r
r,1724.0,anxiety,threat,1,R_99UYrIivDcdeF7r
r,1654.0,positive,threat,1,R_99UYrIivDcdeF7r
r,2457.000000000233,depression,benign,1,R_99UYrIivDcdeF7r
u,1592.0,anxiety,threat,0,R_99UYrIivDcdeF7r
r,2979.0,anxiety,threat,1,R_99UYrIivDcdeF7r
r,1666.0,depression,threat,1,R_99UYrIivDcdeF7r
r,1425.0000000002328,anxiety,threat,1,R_99UYrIivDcdeF7r
r,961.0,depression,benign,1,R_99UYrIivDcdeF7r
r,564.0,anxiety,benign,1,R_99UYrIivDcdeF7r
r,1674.0,anxiety,threat,1,R_99UYrIivDcdeF7r
r,1074.0,anxiety,benign,1,R_99UYrIivDcdeF7r
r,947.0000000002328,anxiety,threat,1,R_99UYrIivDcdeF7r
r,932.0000000002328,depression,threat,1,R_99UYrIivDcdeF7r
r,416.0,anxiety,threat,1,R_99UYrIivDcdeF7r
r,1548.0,depression,threat,1,R_99UYrIivDcdeF7r
r,699.0,positive,benign,1,R_99UYrIivDcdeF7r
u,1384.0,positive,benign,0,R_99UYrIivDcdeF7r
u,1611.0,positive,threat,0,R_99UYrIivDcdeF7r
r,1631.0,anxiety,benign,1,R_99UYrIivDcdeF7r
r,1215.0,depression,benign,1,R_99UYrIivDcdeF7r
r,788.0,anxiety,benign,1,R_99UYrIivDcdeF7r
r,1174.0,depression,threat,1,R_99UYrIivDcdeF7r
r,624.0000000002328,anxiety,threat,1,R_99UYrIivDcdeF7r
r,531.0,positive,threat,1,R_99UYrIivDcdeF7r
r,1252.0000000002328,positive,threat,1,R_99UYrIivDcdeF7r
r,533.0,positive,benign,1,R_99UYrIivDcdeF7r
r,1262.0,positive,benign,1,R_99UYrIivDcdeF7r
r,964.5,depression,threat,1,R_9d0I0cLEUygFnzD
r,971.4000000003725,anxiety,benign,1,R_9d0I0cLEUygFnzD
r,1801.7000000001863,depression,benign,1,R_9d0I0cLEUygFnzD
r,946.7999999998137,depression,threat,1,R_9d0I0cLEUygFnzD
r,1028.7000000001863,anxiety,benign,1,R_9d0I0cLEUygFnzD
r,1014.5,positive,threat,1,R_9d0I0cLEUygFnzD
u,1052.7000000001863,positive,threat,0,R_9d0I0cLEUygFnzD
r,727.7000000001863,anxiety,benign,1,R_9d0I0cLEUygFnzD
u,1338.0999999996275,anxiety,threat,0,R_9d0I0cLEUygFnzD
u,1473.7999999998137,positive,threat,0,R_9d0I0cLEUygFnzD
r,1730.6000000005588,positive,benign,1,R_9d0I0cLEUygFnzD
u,1276.6000000005588,anxiety,benign,0,R_9d0I0cLEUygFnzD
u,1084.6000000005588,anxiety,threat,0,R_9d0I0cLEUygFnzD
u,1656.5999999996275,depression,threat,0,R_9d0I0cLEUygFnzD
u,914.5,depression,threat,0,R_9d0I0cLEUygFnzD
u,1599.6000000005588,depression,threat,0,R_9d0I0cLEUygFnzD
u,2227.5999999996275,anxiety,benign,0,R_9d0I0cLEUygFnzD
u,1248.7000000001863,depression,threat,0,R_9d0I0cLEUygFnzD
r,982.2999999998137,positive,benign,1,R_9d0I0cLEUygFnzD
r,845.2999999998137,positive,threat,1,R_9d0I0cLEUygFnzD
r,1546.7000000001863,anxiety,threat,1,R_9d0I0cLEUygFnzD
r,1808.8999999994412,depression,threat,1,R_9d0I0cLEUygFnzD
r,1548.199999999255,anxiety,threat,1,R_9d0I0cLEUygFnzD
r,861.5999999996275,anxiety,threat,1,R_9d0I0cLEUygFnzD
r,1041.2999999998137,positive,threat,1,R_9d0I0cLEUygFnzD
r,1136.7000000001863,anxiety,threat,1,R_9d0I0cLEUygFnzD
r,1011.5,anxiety,benign,1,R_9d0I0cLEUygFnzD
r,700.2999999998137,anxiety,benign,1,R_9d0I0cLEUygFnzD
u,1277.0999999996275,positive,benign,0,R_9d0I0cLEUygFnzD
r,791.5999999996275,positive,threat,1,R_9d0I0cLEUygFnzD
r,915.7000000001863,depression,benign,1,R_9d0I0cLEUygFnzD
r,936.7000000001863,positive,benign,1,R_9d0I0cLEUygFnzD
u,2267.399999999441,depression,threat,0,R_9d0I0cLEUygFnzD
u,860.6999999992549,depression,threat,0,R_9d0I0cLEUygFnzD
r,909.2999999998137,depression,benign,1,R_9d0I0cLEUygFnzD
r,1147.5999999996275,depression,benign,1,R_9d0I0cLEUygFnzD
r,843.1000000005588,depression,benign,1,R_9d0I0cLEUygFnzD
u,1318.9000000003725,anxiety,threat,0,R_9d0I0cLEUygFnzD
r,1360.0999999996275,positive,benign,1,R_9d0I0cLEUygFnzD
r,1522.9000000003725,positive,threat,1,R_9d0I0cLEUygFnzD
r,883.5999999996275,positive,threat,1,R_9d0I0cLEUygFnzD
r,1200.0,depression,benign,1,R_9d0I0cLEUygFnzD
r,890.7999999998137,anxiety,benign,1,R_9d0I0cLEUygFnzD
r,1005.2999999998137,depression,benign,1,R_9d0I0cLEUygFnzD
r,897.3999999994412,positive,benign,1,R_9d0I0cLEUygFnzD
r,1157.5,depression,benign,1,R_9d0I0cLEUygFnzD
u,1109.5999999996275,anxiety,threat,0,R_9d0I0cLEUygFnzD
u,1682.7999999998137,depression,benign,0,R_9d0I0cLEUygFnzD
u,1660.300000000745,positive,benign,0,R_9d0I0cLEUygFnzD
u,2020.6000000005588,anxiety,threat,0,R_9d0I0cLEUygFnzD
r,1287.5999999996275,positive,threat,1,R_9d0I0cLEUygFnzD
r,814.0,anxiety,benign,1,R_47kRU4DvHWNnjGG
r,686.0,positive,threat,1,R_47kRU4DvHWNnjGG
u,689.8000000119209,depression,threat,0,R_47kRU4DvHWNnjGG
u,828.6999999880791,positive,benign,0,R_47kRU4DvHWNnjGG
r,550.2999999523163,depression,threat,1,R_47kRU4DvHWNnjGG
r,823.1999999880791,positive,threat,1,R_47kRU4DvHWNnjGG
u,632.6000000238419,depression,benign,0,R_47kRU4DvHWNnjGG
u,916.7000000476837,anxiety,threat,0,R_47kRU4DvHWNnjGG
r,1106.699999988079,depression,benign,1,R_47kRU4DvHWNnjGG
r,407.10000002384186,positive,benign,1,R_47kRU4DvHWNnjGG
r,558.8000000119209,depression,benign,1,R_47kRU4DvHWNnjGG
r,1673.6000000238419,anxiety,benign,1,R_47kRU4DvHWNnjGG
u,563.1999999880791,depression,threat,0,R_47kRU4DvHWNnjGG
u,859.1999999880791,depression,threat,0,R_47kRU4DvHWNnjGG
u,1008.8999999761581,depression,threat,0,R_47kRU4DvHWNnjGG
r,347.69999998807907,depression,benign,1,R_47kRU4DvHWNnjGG
r,988.0999999642372,anxiety,threat,1,R_47kRU4DvHWNnjGG
r,626.0999999642372,anxiety,benign,1,R_47kRU4DvHWNnjGG
u,836.1999999880791,depression,threat,0,R_47kRU4DvHWNnjGG
u,534.8999999761581,positive,benign,0,R_47kRU4DvHWNnjGG
r,740.8000000119209,anxiety,benign,1,R_47kRU4DvHWNnjGG
r,921.5,positive,benign,1,R_47kRU4DvHWNnjGG
u,532.6999999880791,positive,threat,0,R_47kRU4DvHWNnjGG
r,1086.5,anxiety,threat,1,R_47kRU4DvHWNnjGG
u,1482.5999999642372,positive,benign,0,R_47kRU4DvHWNnjGG
r,1240.7999999523163,positive,benign,1,R_47kRU4DvHWNnjGG
u,1610.199999988079,anxiety,threat,0,R_47kRU4DvHWNnjGG
u,1028.6000000238419,positive,threat,0,R_47kRU4DvHWNnjGG
u,1060.9000000357628,depression,threat,0,R_47kRU4DvHWNnjGG
r,922.9000000357628,anxiety,benign,1,R_47kRU4DvHWNnjGG
r,1384.699999988079,anxiety,benign,1,R_47kRU4DvHWNnjGG
u,950.8000000119209,depression,threat,0,R_47kRU4DvHWNnjGG
u,1056.3999999761581,anxiety,threat,0,R_47kRU4DvHWNnjGG
r,997.6999999880791,positive,threat,1,R_47kRU4DvHWNnjGG
r,975.5999999642372,positive,benign,1,R_47kRU4DvHWNnjGG
r,889.8000000119209,depression,benign,1,R_47kRU4DvHWNnjGG
r,781.3000000119209,depression,benign,1,R_47kRU4DvHWNnjGG
r,668.5,anxiety,benign,1,R_47kRU4DvHWNnjGG
r,437.5,positive,benign,1,R_47kRU4DvHWNnjGG
r,377.69999998807907,depression,benign,1,R_47kRU4DvHWNnjGG
r,980.0,positive,threat,1,R_47kRU4DvHWNnjGG
u,1581.7000000476837,anxiety,threat,0,R_47kRU4DvHWNnjGG
r,1408.9000000357628,positive,threat,1,R_47kRU4DvHWNnjGG
r,840.3999999761581,depression,benign,1,R_47kRU4DvHWNnjGG
r,729.8999999761581,anxiety,benign,1,R_47kRU4DvHWNnjGG
r,540.2000000476837,positive,threat,1,R_47kRU4DvHWNnjGG
u,881.4000000357628,anxiety,threat,0,R_47kRU4DvHWNnjGG
r,738.2000000476837,anxiety,benign,1,R_47kRU4DvHWNnjGG
r,930.6999999880791,depression,benign,1,R_47kRU4DvHWNnjGG
r,812.8000000119209,positive,threat,1,R_47kRU4DvHWNnjGG
u,541.5,anxiety,threat,0,R_47kRU4DvHWNnjGG
u,1618.0,positive,benign,0,R_47kRU4DvHWNnjGG
u,839.8000000119209,anxiety,threat,0,R_47kRU4DvHWNnjGG
u,502.9000000357628,depression,threat,0,R_47kRU4DvHWNnjGG
r,1500.800000011921,anxiety,benign,1,R_9cj5AYT2isbQ025
r,1068.7999999523163,depression,threat,1,R_9cj5AYT2isbQ025
r,781.3000000119209,depression,benign,1,R_9cj5AYT2isbQ025
r,516.6999999880791,depression,benign,1,R_9cj5AYT2isbQ025
r,805.2999999523163,anxiety,threat,1,R_9cj5AYT2isbQ025
r,788.5,anxiety,threat,1,R_9cj5AYT2isbQ025
r,1765.1000000238419,anxiety,threat,1,R_9cj5AYT2isbQ025
r,876.8999999761581,depression,benign,1,R_9cj5AYT2isbQ025
r,1516.8999999761581,depression,threat,1,R_9cj5AYT2isbQ025
r,1339.2999999523163,depression,threat,1,R_9cj5AYT2isbQ025
r,548.3999999761581,depression,benign,1,R_9cj5AYT2isbQ025
r,1125.5999999642372,anxiety,threat,1,R_9cj5AYT2isbQ025
r,411.69999998807907,positive,benign,1,R_9cj5AYT2isbQ025
u,1192.1000000238419,depression,threat,0,R_9cj5AYT2isbQ025
r,1133.0999999642372,anxiety,threat,1,R_9cj5AYT2isbQ025
r,734.1999999880791,depression,benign,1,R_9cj5AYT2isbQ025
r,988.5,depression,threat,1,R_9cj5AYT2isbQ025
r,1564.5,positive,threat,1,R_9cj5AYT2isbQ025
r,1308.800000011921,depression,threat,1,R_9cj5AYT2isbQ025
r,965.0,anxiety,benign,1,R_9cj5AYT2isbQ025
u,1503.8999999761581,positive,threat,0,R_9cj5AYT2isbQ025
r,500.69999998807907,positive,benign,1,R_9cj5AYT2isbQ025
r,716.1999999880791,anxiety,benign,1,R_9cj5AYT2isbQ025
r,788.8000000119209,positive,threat,1,R_9cj5AYT2isbQ025
r,630.0999999642372,anxiety,benign,1,R_9cj5AYT2isbQ025
r,611.0999999642372,positive,threat,1,R_9cj5AYT2isbQ025
r,675.3000000119209,positive,threat,1,R_9cj5AYT2isbQ025
r,605.6000000238419,anxiety,benign,1,R_9cj5AYT2isbQ025
r,773.5999999642372,positive,benign,1,R_9cj5AYT2isbQ025
r,469.0,anxiety,benign,1,R_9cj5AYT2isbQ025
u,1367.0999999642372,depression,threat,0,R_9cj5AYT2isbQ025
r,1709.0,anxiety,threat,1,R_9cj5AYT2isbQ025
r,804.5999999642372,positive,benign,1,R_9cj5AYT2isbQ025
r,894.0999999642372,anxiety,benign,1,R_9cj5AYT2isbQ025
r,867.8000000119209,positive,benign,1,R_9cj5AYT2isbQ025
u,1143.0,depression,threat,0,R_9cj5AYT2isbQ025
r,1596.5,anxiety,threat,1,R_9cj5AYT2isbQ025
r,555.4000000357628,depression,benign,1,R_9cj5AYT2isbQ025
r,700.3999999761581,depression,benign,1,R_9cj5AYT2isbQ025
r,525.1000000238419,depression,benign,1,R_9cj5AYT2isbQ025
r,460.89999997615814,positive,benign,1,R_9cj5AYT2isbQ025
r,748.1999999880791,anxiety,benign,1,R_9cj5AYT2isbQ025
u,1496.8999999761581,positive,benign,0,R_9cj5AYT2isbQ025
r,758.3999999761581,anxiety,threat,1,R_9cj5AYT2isbQ025
r,685.1000000238419,depression,benign,1,R_9cj5AYT2isbQ025
r,1045.699999988079,positive,threat,1,R_9cj5AYT2isbQ025
r,828.8999999761581,positive,benign,1,R_9cj5AYT2isbQ025
r,917.3999999761581,positive,threat,1,R_9cj5AYT2isbQ025
r,1268.800000011921,anxiety,benign,1,R_9cj5AYT2isbQ025
u,1032.0,positive,threat,0,R_9cj5AYT2isbQ025
u,2890.0,anxiety,threat,0,R_9cj5AYT2isbQ025
r,1067.699999988079,positive,benign,1,R_9cj5AYT2isbQ025
r,646.2000000476837,depression,threat,1,R_9cj5AYT2isbQ025
